2020-03-12 00:00:02.251 http-nio-15016-exec-31 INFO  flowRecorder - 10.71.64.104,userIp:223.104.177.82,8AC3B90F-FA1E-4F34-B747-A01B030642A0,7709fb639b87ae62881536e54a658dba,tian tian ying qiu/6.5.0 (iPhone; iOS 12.4.5; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=8AC3B90F-FA1E-4F34-B747-A01B030642A0&platform=ios,
2020-03-12 00:00:15.917 http-nio-15016-exec-3 INFO  flowRecorder - 10.71.64.44,userIp:182.134.17.26,FDC02EB0-396C-4981-A6CB-F6C225392410,a838cb96864de178bde8443054e0ec6a,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=FDC02EB0-396C-4981-A6CB-F6C225392410&platform=ios,
2020-03-12 00:01:04.310 http-nio-15016-exec-8 INFO  flowRecorder - 10.71.64.45,userIp:112.17.238.225,03320400-1D43-4709-BE4C-DFF8BD472E36,4a8137344606638e5c9a4a85488b125a,tian tian ying qiu/6.5.0 (iPhone; iOS 12.4.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=03320400-1D43-4709-BE4C-DFF8BD472E36&platform=ios,
2020-03-12 00:01:50.379 http-nio-15016-exec-27 INFO  flowRecorder - 10.71.64.45,userIp:223.104.159.210,B2219BA7-A94A-42FC-8306-0452F5B0EF5C,68165a6b8d59a533cdf41e8dc68c6401,tian tian ying qiu/6.5.0 (iPhone; iOS 10.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=B2219BA7-A94A-42FC-8306-0452F5B0EF5C&platform=ios,
2020-03-12 00:04:35.025 http-nio-15016-exec-27 INFO  flowRecorder - 10.71.64.44,userIp:220.246.161.129,4558D75C-25E3-4013-8EAE-5139E3C0E591,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=4558D75C-25E3-4013-8EAE-5139E3C0E591&platform=ios,
2020-03-12 00:11:59.489 http-nio-15016-exec-26 INFO  flowRecorder - 10.71.64.105,userIp:223.104.65.95,04B3391D-CBA3-4CD7-8E0A-81362A6713F0,34c1c1d634ac3c29547920fea9202412,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=04B3391D-CBA3-4CD7-8E0A-81362A6713F0&platform=ios,
2020-03-12 00:13:06.175 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.104,userIp:122.96.165.75,656FBF95-7B88-4DC3-9532-F0989DB414A6,49fd273d3b61c620a31da2d6a33ffa45,tian tian ying qiu/6.5.0 (iPhone; iOS 11.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=656FBF95-7B88-4DC3-9532-F0989DB414A6&platform=ios,
2020-03-12 00:14:19.099 http-nio-15016-exec-13 INFO  flowRecorder - 10.71.64.45,userIp:223.104.7.120,A04057DC-2C6C-4C65-B3A2-B28A8514E172,f7e1ae0b9575046c64acf9ceca16aa10,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=A04057DC-2C6C-4C65-B3A2-B28A8514E172&platform=ios,
2020-03-12 00:21:29.738 http-nio-15016-exec-22 INFO  flowRecorder - 10.71.64.44,userIp:153.0.2.47,CFB873B1-9BC8-45E6-A08D-792BF796244A,a9fec8ea9dd767fe484943d4dde6cd3b,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=CFB873B1-9BC8-45E6-A08D-792BF796244A&platform=ios,
2020-03-12 00:21:48.495 http-nio-15016-exec-3 INFO  flowRecorder - 10.71.64.105,userIp:180.152.242.150,722FAB71-2804-4C49-8CF4-F01E0C895E1C,5f88efa7dba8c529242aa2a4a840f2ae,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=722FAB71-2804-4C49-8CF4-F01E0C895E1C&platform=ios,
2020-03-12 00:23:34.545 http-nio-15016-exec-17 INFO  flowRecorder - 10.71.64.44,userIp:39.83.56.29,3B8F90DE-A288-4D5B-8AB7-609B36664D65,9007eaceb686e5207520c5548463bba7,tian tian ying qiu/6.5.0 (iPhone; iOS 10.3.3; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=3B8F90DE-A288-4D5B-8AB7-609B36664D65&platform=ios,
